
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
twentytwelve_scripts_styles,3.0,5.0,7.0,12.0,10.0,24.0,17.0,8.0,  
twentytwelve_mce_css,3.0,3.0,0.0,9.0,7.0,13.0,13.0,4.0,  
twentytwelve_wp_title,4.0,7.0,3.0,12.0,10.0,20.0,17.0,24.0,  
twentytwelve_page_menu_args,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
twentytwelve_widgets_init,1.0,1.0,0.0,29.0,3.0,31.0,31.0,1.0,  
twentytwelve_content_nav,2.0,2.0,0.0,11.0,9.0,13.0,13.0,2.0,  
twentytwelve_comment,5.0,5.0,5.0,46.0,26.0,51.0,46.0,12.0,  
twentytwelve_entry_meta,3.0,3.0,3.0,29.0,10.0,37.0,34.0,3.0,  
twentytwelve_body_class,10.0,12.0,1.0,24.0,20.0,31.0,30.0,336.0,  
twentytwelve_content_width,2.0,4.0,0.0,6.0,3.0,6.0,6.0,4.0,  
twentytwelve_customize_register,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
twentytwelve_customize_preview_js,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
twentytwelve_custom_header_setup,1.0,1.0,5.0,16.0,2.0,26.0,21.0,1.0,  
twentytwelve_custom_header_fonts,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
twentytwelve_header_style,3.0,3.0,4.0,26.0,6.0,32.0,28.0,4.0,  
twentytwelve_admin_header_style,1.0,1.0,0.0,34.0,1.0,34.0,34.0,1.0,  
twentytwelve_admin_header_image,3.0,3.0,0.0,17.0,14.0,17.0,17.0,4.0,  
get_the_author,3.0,3.0,7.0,6.0,4.0,15.0,8.0,10.0,  
the_author,4.0,4.0,0.0,9.0,7.0,9.0,9.0,8.0,  
get_the_modified_author,2.0,2.0,7.0,6.0,3.0,14.0,7.0,2.0,  
the_modified_author,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_author_meta,5.0,5.0,10.0,12.0,8.0,25.0,15.0,60.0,  
the_author_meta,1.0,1.0,10.0,4.0,2.0,15.0,5.0,1.0,  
get_the_author_link,2.0,2.0,0.0,7.0,3.0,7.0,7.0,2.0,  
the_author_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_author_posts,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
the_author_posts,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
the_author_posts_link,3.0,3.0,7.0,14.0,7.0,23.0,16.0,4.0,  
get_author_posts_url,4.0,4.0,9.0,19.0,14.0,31.0,22.0,4.0,  
wp_list_authors,17.0,22.0,1.0,70.0,54.0,97.0,96.0,518404.0,  
is_multi_author,3.0,3.0,7.0,9.0,6.0,18.0,11.0,6.0,  
__clear_multi_author_cache,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_walk_bookmarks,17.0,21.0,3.0,61.0,49.0,82.0,79.0,155521.0,  
wp_list_bookmarks,9.0,9.0,16.0,50.0,31.0,74.0,58.0,36.0,  
get_category_link,3.0,3.0,0.0,8.0,6.0,11.0,11.0,4.0,  
get_category_parents,5.0,7.0,0.0,19.0,14.0,22.0,22.0,32.0,  
get_the_category,3.0,4.0,1.0,10.0,7.0,14.0,13.0,6.0,  
_usort_terms_by_name,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_usort_terms_by_ID,3.0,3.0,0.0,8.0,5.0,8.0,8.0,3.0,  
get_the_category_by_ID,2.0,2.0,0.0,7.0,5.0,7.0,7.0,2.0,  
get_the_category_list,18.0,19.0,0.0,57.0,49.0,60.0,60.0,400.0,  
in_category,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
the_category,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
category_description,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_dropdown_categories,16.0,23.0,3.0,62.0,41.0,81.0,78.0,3153600.0,  
wp_list_categories,18.0,27.0,1.0,65.0,41.0,80.0,79.0,271296.0,  
wp_tag_cloud,6.0,8.0,2.0,26.0,18.0,34.0,32.0,45.0,  
default_topic_count_text,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
default_topic_count_scale,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_generate_tag_cloud,17.0,19.0,3.0,78.0,58.0,91.0,88.0,119808.0,  
_wp_object_name_sort_cb,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_wp_object_count_sort_cb,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
walk_category_tree,2.0,3.0,1.0,8.0,5.0,10.0,9.0,3.0,  
walk_category_dropdown_tree,2.0,3.0,1.0,8.0,5.0,10.0,9.0,3.0,  
get_tag_link,3.0,3.0,0.0,8.0,6.0,11.0,11.0,4.0,  
get_the_tags,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_tag_list,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
the_tags,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
tag_description,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
term_description,4.0,7.0,0.0,11.0,7.0,11.0,11.0,30.0,  
get_the_terms,4.0,4.0,0.0,13.0,10.0,17.0,17.0,8.0,  
get_the_term_list,5.0,5.0,0.0,15.0,12.0,20.0,20.0,12.0,  
the_terms,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
has_category,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
has_tag,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
has_term,3.0,3.0,0.0,9.0,7.0,12.0,12.0,4.0,  
get_comment_author,3.0,4.0,7.0,12.0,7.0,21.0,14.0,4.0,  
comment_author,1.0,1.0,7.0,5.0,3.0,12.0,5.0,1.0,  
get_comment_author_email,1.0,1.0,7.0,4.0,2.0,11.0,4.0,1.0,  
comment_author_email,1.0,1.0,7.0,4.0,2.0,11.0,4.0,1.0,  
comment_author_email_link,2.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,  
get_comment_author_email_link,3.0,4.0,10.0,13.0,9.0,23.0,13.0,7.0,  
get_comment_author_link,2.0,3.0,7.0,9.0,6.0,18.0,11.0,3.0,  
comment_author_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_comment_author_IP,1.0,1.0,7.0,4.0,2.0,12.0,5.0,1.0,  
comment_author_IP,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_comment_author_url,2.0,2.0,0.0,6.0,4.0,6.0,6.0,5.0,  
comment_author_url,1.0,1.0,7.0,4.0,2.0,11.0,4.0,1.0,  
get_comment_author_url_link,3.0,3.0,7.0,10.0,8.0,18.0,11.0,10.0,  
comment_author_url_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
comment_class,2.0,2.0,1.0,7.0,4.0,8.0,7.0,2.0,  
get_comment_class,13.0,14.0,15.0,44.0,34.0,71.0,56.0,3600.0,  
get_comment_date,2.0,2.0,8.0,8.0,5.0,16.0,8.0,2.0,  
comment_date,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_comment_excerpt,4.0,4.0,0.0,18.0,13.0,18.0,18.0,20.0,  
comment_excerpt,1.0,1.0,7.0,4.0,2.0,11.0,4.0,1.0,  
get_comment_ID,1.0,1.0,7.0,4.0,2.0,11.0,4.0,1.0,  
comment_ID,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_comment_link,8.0,9.0,10.0,29.0,22.0,47.0,37.0,156.0,  
get_comments_link,1.0,1.0,8.0,4.0,2.0,12.0,4.0,1.0,  
comments_link,3.0,3.0,0.0,7.0,5.0,7.0,7.0,4.0,  
get_comments_number,3.0,3.0,8.0,11.0,8.0,22.0,14.0,4.0,  
comments_number,7.0,7.0,9.0,12.0,9.0,23.0,14.0,30.0,  
get_comment_text,1.0,1.0,9.0,4.0,2.0,14.0,5.0,1.0,  
comment_text,1.0,1.0,9.0,5.0,3.0,15.0,6.0,1.0,  
get_comment_time,3.0,3.0,10.0,9.0,6.0,20.0,10.0,10.0,  
comment_time,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_comment_type,2.0,2.0,7.0,6.0,4.0,14.0,7.0,2.0,  
comment_type,6.0,6.0,0.0,16.0,16.0,16.0,16.0,24.0,  
get_trackback_url,2.0,2.0,7.0,7.0,4.0,15.0,8.0,2.0,  
trackback_url,3.0,3.0,0.0,8.0,5.0,8.0,8.0,4.0,  
trackback_rdf,3.0,3.0,0.0,18.0,13.0,20.0,20.0,4.0,  
comments_open,1.0,1.0,8.0,5.0,3.0,16.0,8.0,1.0,  
pings_open,1.0,1.0,0.0,5.0,3.0,7.0,7.0,1.0,  
wp_comment_form_unfiltered_html_nonce,3.0,3.0,0.0,8.0,5.0,9.0,9.0,10.0,  
comments_template,11.0,15.0,34.0,42.0,35.0,86.0,52.0,2520.0,  
comments_popup_script,2.0,2.0,1.0,11.0,7.0,13.0,12.0,2.0,  
comments_popup_link,12.0,14.0,8.0,41.0,36.0,57.0,49.0,2048.0,  
get_comment_reply_link,5.0,7.0,12.0,27.0,16.0,48.0,36.0,36.0,  
comment_reply_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_post_reply_link,3.0,4.0,8.0,21.0,11.0,33.0,25.0,6.0,  
post_reply_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_cancel_comment_reply_link,3.0,3.0,9.0,8.0,6.0,19.0,10.0,10.0,  
cancel_comment_reply_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_comment_id_fields,3.0,3.0,9.0,8.0,6.0,19.0,10.0,10.0,  
comment_id_fields,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
comment_form_title,6.0,6.0,0.0,13.0,11.0,16.0,16.0,120.0,  
wp_list_comments,20.0,22.0,2.0,79.0,51.0,95.0,93.0,120960.0,  
comment_form,16.0,17.0,92.0,94.0,47.0,193.0,101.0,1.6875E7,  
rss_enclosure,5.0,5.0,1.0,14.0,9.0,18.0,17.0,8.0,  
atom_enclosure,5.0,5.0,0.0,12.0,7.0,13.0,13.0,8.0,  
get_header,3.0,3.0,1.0,10.0,8.0,14.0,13.0,4.0,  
get_footer,3.0,3.0,1.0,10.0,8.0,14.0,13.0,4.0,  
get_sidebar,3.0,3.0,1.0,10.0,8.0,14.0,13.0,4.0,  
get_template_part,2.0,2.0,0.0,9.0,7.0,12.0,12.0,2.0,  
get_search_form,6.0,6.0,0.0,36.0,17.0,40.0,40.0,60.0,  
wp_loginout,3.0,3.0,0.0,10.0,6.0,11.0,11.0,4.0,  
wp_logout_url,2.0,2.0,0.0,9.0,6.0,11.0,11.0,2.0,  
wp_login_url,3.0,3.0,0.0,8.0,6.0,11.0,11.0,4.0,  
wp_registration_url,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_login_form,5.0,5.0,2.0,42.0,6.0,44.0,42.0,90.0,  
wp_lostpassword_url,2.0,2.0,0.0,8.0,5.0,9.0,9.0,2.0,  
wp_register,4.0,4.0,0.0,14.0,8.0,16.0,16.0,6.0,  
wp_meta,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
bloginfo,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_bloginfo,30.0,32.0,3.0,88.0,80.0,93.0,90.0,360.0,  
wp_title,22.0,30.0,15.0,73.0,58.0,103.0,88.0,1.259712E7,  
single_post_title,3.0,3.0,0.0,10.0,7.0,12.0,12.0,4.0,  
post_type_archive_title,4.0,4.0,0.0,13.0,10.0,16.0,16.0,8.0,  
single_cat_title,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
single_tag_title,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
single_term_title,7.0,7.0,0.0,19.0,15.0,23.0,23.0,32.0,  
single_month_title,5.0,6.0,0.0,19.0,16.0,24.0,24.0,16.0,  
get_archives_link,4.0,4.0,1.0,14.0,11.0,17.0,16.0,4.0,  
wp_get_archives,35.0,36.0,6.0,148.0,117.0,168.0,162.0,5504.0,  
calendar_week_mod,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
get_calendar,32.0,40.0,12.0,159.0,100.0,200.0,188.0,7.3156608E8,  
delete_get_calendar_cache,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
allowed_tags,4.0,4.0,0.0,14.0,9.0,14.0,14.0,4.0,  
the_date_xml,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
the_date,3.0,3.0,0.0,16.0,12.0,19.0,19.0,3.0,  
get_the_date,2.0,2.0,0.0,9.0,6.0,11.0,11.0,2.0,  
the_modified_date,2.0,2.0,0.0,8.0,5.0,11.0,11.0,2.0,  
get_the_modified_date,2.0,2.0,0.0,7.0,4.0,7.0,7.0,2.0,  
the_time,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_time,2.0,2.0,0.0,8.0,5.0,9.0,9.0,2.0,  
get_post_time,2.0,2.0,1.0,9.0,6.0,11.0,10.0,2.0,  
the_modified_time,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_modified_time,2.0,2.0,0.0,7.0,4.0,7.0,7.0,2.0,  
get_post_modified_time,2.0,2.0,0.0,9.0,6.0,11.0,11.0,2.0,  
the_weekday,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
the_weekday_date,2.0,2.0,0.0,12.0,9.0,12.0,12.0,2.0,  
wp_head,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_footer,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
feed_links,2.0,2.0,3.0,12.0,6.0,18.0,15.0,2.0,  
feed_links_extra,14.0,17.0,7.0,53.0,39.0,68.0,61.0,45.0,  
rsd_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wlwmanifest_link,1.0,1.0,0.0,4.0,1.0,4.0,4.0,1.0,  
noindex,2.0,2.0,1.0,4.0,2.0,5.0,4.0,2.0,  
wp_no_robots,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
rich_edit_exists,2.0,2.0,0.0,6.0,4.0,6.0,6.0,2.0,  
user_can_richedit,5.0,12.0,1.0,14.0,9.0,17.0,16.0,10.0,  
wp_default_editor,4.0,4.0,3.0,8.0,5.0,8.0,5.0,30.0,  
wp_editor,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
get_search_query,2.0,2.0,0.0,6.0,4.0,6.0,6.0,2.0,  
the_search_query,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
language_attributes,5.0,8.0,0.0,15.0,12.0,19.0,19.0,30.0,  
paginate_links,18.0,29.0,5.0,80.0,63.0,84.0,79.0,1170000.0,  
wp_admin_css_color,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
register_admin_color_schemes,1.0,1.0,0.0,6.0,2.0,6.0,6.0,1.0,  
wp_admin_css_uri,2.0,2.0,0.0,9.0,5.0,10.0,10.0,2.0,  
add_thickbox,2.0,2.0,0.0,6.0,4.0,7.0,7.0,2.0,  
wp_generator,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
the_generator,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_generator,18.0,18.0,0.0,49.0,44.0,52.0,52.0,119.0,  
checked,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
selected,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
disabled,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
__checked_selected_helper,3.0,3.0,0.0,9.0,6.0,11.0,11.0,4.0,  
wp_heartbeat_settings,3.0,3.0,0.0,7.0,5.0,9.0,9.0,4.0,  
the_permalink,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
user_trailingslashit,2.0,2.0,2.0,9.0,6.0,12.0,10.0,2.0,  
permalink_anchor,3.0,3.0,0.0,13.0,10.0,13.0,13.0,3.0,  
get_permalink,15.0,18.0,4.0,76.0,41.0,87.0,83.0,11520.0,  
get_post_permalink,6.0,11.0,0.0,25.0,19.0,33.0,33.0,18.0,  
post_permalink,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
get_page_link,2.0,3.0,0.0,8.0,5.0,10.0,10.0,3.0,  
_get_page_link,3.0,6.0,0.0,16.0,11.0,22.0,22.0,6.0,  
get_attachment_link,8.0,11.0,2.0,23.0,18.0,31.0,29.0,260.0,  
get_year_link,3.0,3.0,0.0,12.0,8.0,12.0,12.0,4.0,  
get_month_link,4.0,4.0,0.0,15.0,11.0,15.0,15.0,8.0,  
get_day_link,5.0,5.0,0.0,18.0,14.0,19.0,19.0,16.0,  
the_feed_link,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
get_feed_link,6.0,6.0,0.0,22.0,17.0,28.0,28.0,8.0,  
get_post_comments_feed_link,7.0,8.0,0.0,24.0,18.0,29.0,29.0,32.0,  
get_term_feed_link,9.0,10.0,0.0,34.0,25.0,42.0,42.0,90.0,  
get_tag_feed_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_edit_tag_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
edit_tag_link,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
get_edit_term_link,3.0,3.0,0.0,15.0,9.0,20.0,20.0,4.0,  
edit_term_link,6.0,6.0,0.0,17.0,14.0,22.0,22.0,32.0,  
get_search_link,3.0,3.0,1.0,17.0,12.0,21.0,20.0,4.0,  
get_search_feed_link,3.0,3.0,0.0,15.0,11.0,20.0,20.0,4.0,  
get_search_comments_feed_link,3.0,3.0,0.0,13.0,10.0,19.0,19.0,4.0,  
get_post_type_archive_link,6.0,7.0,0.0,18.0,13.0,21.0,21.0,48.0,  
get_post_type_archive_feed_link,5.0,7.0,0.0,17.0,13.0,20.0,20.0,20.0,  
get_edit_post_link,6.0,6.0,0.0,16.0,13.0,20.0,20.0,24.0,  
edit_post_link,4.0,4.0,0.0,11.0,9.0,14.0,14.0,8.0,  
get_delete_post_link,6.0,7.0,0.0,14.0,12.0,20.0,20.0,80.0,  
get_edit_comment_link,2.0,2.0,0.0,7.0,5.0,9.0,9.0,2.0,  
edit_comment_link,3.0,3.0,0.0,9.0,7.0,12.0,12.0,4.0,  
get_edit_bookmark_link,2.0,2.0,0.0,7.0,5.0,9.0,9.0,2.0,  
edit_bookmark_link,3.0,3.0,0.0,9.0,7.0,12.0,12.0,4.0,  
get_edit_user_link,5.0,6.0,0.0,14.0,11.0,19.0,19.0,24.0,  
get_previous_post,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_next_post,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_adjacent_post,18.0,20.0,1.0,59.0,48.0,75.0,74.0,279000.0,  
get_adjacent_post_rel_link,7.0,9.0,0.0,19.0,16.0,26.0,26.0,1200.0,  
adjacent_posts_rel_link,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
adjacent_posts_rel_link_wp_head,2.0,3.0,0.0,5.0,3.0,5.0,5.0,3.0,  
next_post_rel_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prev_post_rel_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_boundary_post,8.0,11.0,0.0,23.0,19.0,30.0,30.0,320.0,  
get_previous_post_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
previous_post_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_next_post_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
next_post_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_adjacent_post_link,7.0,8.0,1.0,23.0,18.0,31.0,30.0,465.0,  
adjacent_post_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_pagenum_link,9.0,12.0,0.0,42.0,32.0,56.0,56.0,510.0,  
get_next_posts_page_link,4.0,5.0,0.0,10.0,7.0,11.0,11.0,7.0,  
next_posts,2.0,2.0,0.0,7.0,4.0,8.0,8.0,2.0,  
get_next_posts_link,5.0,6.0,0.0,14.0,11.0,19.0,19.0,24.0,  
next_posts_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_previous_posts_page_link,3.0,3.0,0.0,9.0,6.0,10.0,10.0,3.0,  
previous_posts,2.0,2.0,0.0,7.0,4.0,8.0,8.0,2.0,  
get_previous_posts_link,3.0,4.0,0.0,9.0,6.0,11.0,11.0,6.0,  
previous_posts_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_posts_nav_link,4.0,5.0,1.0,23.0,14.0,30.0,29.0,7.0,  
posts_nav_link,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
get_comments_pagenum_link,6.0,6.0,0.0,21.0,15.0,27.0,27.0,6.0,  
get_next_comments_link,6.0,7.0,0.0,16.0,14.0,24.0,24.0,48.0,  
next_comments_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_previous_comments_link,4.0,5.0,0.0,11.0,9.0,16.0,16.0,12.0,  
previous_comments_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
paginate_comments_links,5.0,6.0,0.0,25.0,15.0,29.0,29.0,24.0,  
get_shortcut_link,1.0,1.0,1.0,18.0,3.0,21.0,20.0,1.0,  
set_url_scheme,9.0,15.0,0.0,24.0,18.0,27.0,27.0,112.0,  
get_dashboard_url,5.0,8.0,0.0,21.0,14.0,23.0,23.0,8.0,  
get_edit_profile_url,3.0,3.0,0.0,10.0,7.0,12.0,12.0,3.0,  
wp_get_shortlink,7.0,8.0,2.0,22.0,18.0,28.0,26.0,30.0,  
wp_shortlink_wp_head,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
wp_shortlink_header,3.0,3.0,0.0,8.0,6.0,11.0,11.0,4.0,  
the_shortlink,4.0,4.0,0.0,13.0,10.0,17.0,17.0,8.0,  
the_ID,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_ID,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
the_title,3.0,3.0,0.0,10.0,7.0,13.0,13.0,4.0,  
the_title_attribute,3.0,3.0,0.0,14.0,11.0,18.0,18.0,4.0,  
get_the_title,6.0,7.0,0.0,15.0,11.0,18.0,18.0,125.0,  
the_guid,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_guid,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
the_content,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
get_the_content,12.0,17.0,4.0,39.0,32.0,54.0,50.0,4096.0,  
_convert_urlencoded_to_entities,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
the_excerpt,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_the_excerpt,3.0,3.0,0.0,9.0,6.0,12.0,12.0,4.0,  
has_excerpt,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
post_class,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,  
get_post_class,15.0,18.0,6.0,44.0,35.0,63.0,57.0,6144.0,  
body_class,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,  
get_body_class,46.0,50.0,2.0,138.0,118.0,163.0,161.0,5.474304E7,  
post_password_required,4.0,4.0,0.0,13.0,11.0,18.0,18.0,8.0,  
wp_link_pages,9.0,11.0,0.0,51.0,33.0,57.0,57.0,22.0,  
_wp_link_page,4.0,6.0,0.0,15.0,10.0,17.0,17.0,6.0,  
post_custom,3.0,3.0,0.0,9.0,6.0,10.0,10.0,3.0,  
the_meta,4.0,4.0,0.0,14.0,10.0,14.0,14.0,4.0,  
wp_dropdown_pages,6.0,6.0,1.0,28.0,19.0,35.0,34.0,20.0,  
wp_list_pages,7.0,9.0,3.0,34.0,23.0,47.0,44.0,170.0,  
wp_page_menu,8.0,11.0,2.0,36.0,28.0,44.0,42.0,148.0,  
walk_page_tree,4.0,4.0,0.0,12.0,8.0,14.0,14.0,6.0,  
walk_page_dropdown_tree,2.0,2.0,1.0,8.0,5.0,9.0,8.0,2.0,  
the_attachment_link,3.0,3.0,0.0,8.0,5.0,9.0,9.0,4.0,  
wp_get_attachment_link,6.0,9.0,0.0,18.0,15.0,24.0,24.0,64.0,  
prepend_attachment,2.0,3.0,1.0,10.0,8.0,14.0,13.0,3.0,  
get_the_password_form,2.0,2.0,0.0,10.0,4.0,10.0,10.0,5.0,  
is_page_template,5.0,6.0,0.0,12.0,10.0,17.0,17.0,24.0,  
get_page_template_slug,3.0,5.0,0.0,9.0,7.0,9.0,9.0,9.0,  
has_post_thumbnail,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_post_thumbnail_id,2.0,2.0,0.0,4.0,2.0,4.0,4.0,5.0,  
the_post_thumbnail,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
update_post_thumbnail_cache,6.0,6.0,0.0,15.0,11.0,19.0,19.0,24.0,  
get_the_post_thumbnail,4.0,4.0,38.0,15.0,11.0,58.0,20.0,15.0,  
get_query_template,2.0,2.0,11.0,7.0,5.0,20.0,9.0,2.0,  
get_index_template,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_404_template,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_archive_template,2.0,2.0,0.0,10.0,7.0,13.0,13.0,2.0,  
get_post_type_archive_template,3.0,3.0,0.0,9.0,7.0,11.0,11.0,4.0,  
get_author_template,2.0,2.0,0.0,10.0,7.0,13.0,13.0,2.0,  
get_category_template,2.0,2.0,0.0,10.0,7.0,13.0,13.0,2.0,  
get_tag_template,2.0,2.0,0.0,10.0,7.0,13.0,13.0,2.0,  
get_taxonomy_template,2.0,2.0,0.0,11.0,8.0,14.0,14.0,2.0,  
get_date_template,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_home_template,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
get_front_page_template,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
get_page_template,6.0,8.0,1.0,19.0,16.0,23.0,22.0,48.0,  
get_paged_template,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_search_template,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_single_template,2.0,2.0,0.0,8.0,6.0,11.0,11.0,2.0,  
get_attachment_template,7.0,8.0,0.0,17.0,12.0,20.0,20.0,8.0,  
get_comments_popup_template,2.0,2.0,1.0,6.0,4.0,9.0,8.0,2.0,  
locate_template,6.0,7.0,0.0,17.0,13.0,19.0,19.0,21.0,  
load_template,3.0,3.0,0.0,9.0,6.0,11.0,11.0,4.0,  
get_bookmark,11.0,12.0,0.0,34.0,25.0,38.0,38.0,64.0,  
get_bookmark_field,4.0,4.0,0.0,11.0,9.0,15.0,15.0,8.0,  
get_bookmarks,34.0,36.0,1.0,128.0,98.0,147.0,146.0,8.064E7,  
sanitize_bookmark,6.0,6.0,0.0,22.0,13.0,25.0,25.0,10.0,  
sanitize_bookmark_field,13.0,13.0,8.0,39.0,32.0,47.0,39.0,72.0,  
clean_bookmark_cache,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
wp_cache_add,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
wp_cache_close,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
