
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
WP_User_Search,3.0,3.0,0.0,10.0,8.0,12.0,12.0,25.0,  
prepare_query,5.0,5.0,1.0,26.0,22.0,31.0,30.0,9.0,  
query,2.0,2.0,1.0,8.0,5.0,10.0,9.0,2.0,  
prepare_vars_for_template_usage,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
do_paging,5.0,5.0,1.0,24.0,9.0,25.0,24.0,9.0,  
get_results,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
page_links,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
results_are_paged,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
is_search,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
_WP_List_Table_Compat,3.0,3.0,0.0,9.0,6.0,11.0,11.0,4.0,  
get_column_info,1.0,1.0,0.0,6.0,4.0,7.0,7.0,1.0,  
get_columns,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get,42.0,53.0,4.0,127.0,106.0,150.0,146.0,4.00401792E8,  
set_current_screen,1.0,1.0,0.0,7.0,5.0,7.0,7.0,1.0,  
__construct,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
in_admin,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
add_old_compat_help,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
set_parentage,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
add_option,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_option,4.0,4.0,0.0,10.0,7.0,10.0,10.0,6.0,  
get_help_tabs,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_help_tab,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
add_help_tab,2.0,3.0,2.0,13.0,6.0,18.0,16.0,3.0,  
remove_help_tab,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
remove_help_tabs,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_help_sidebar,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
set_help_sidebar,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_columns,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
render_screen_meta,17.0,21.0,9.0,105.0,57.0,127.0,118.0,276480.0,  
show_screen_options,4.0,7.0,0.0,20.0,17.0,27.0,27.0,12.0,  
render_screen_options,13.0,19.0,1.0,65.0,42.0,74.0,73.0,1140.0,  
render_screen_layout,3.0,3.0,0.0,21.0,12.0,23.0,23.0,4.0,  
render_per_page_options,10.0,11.0,1.0,38.0,27.0,46.0,45.0,448.0,  
start_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
end_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
start_el,4.0,4.0,0.0,11.0,8.0,13.0,13.0,20.0,  
end_el,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
enqueue_scripts,7.0,7.0,8.0,36.0,18.0,53.0,45.0,20.0,  
print_js,2.0,5.0,0.0,35.0,5.0,36.0,36.0,5.0,  
pointer_wp330_toolbar,2.0,3.0,0.0,10.0,5.0,12.0,12.0,3.0,  
pointer_wp330_media_uploader,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
pointer_wp330_saving_widgets,2.0,2.0,0.0,8.0,3.0,9.0,9.0,5.0,  
pointer_wp340_customize_current_theme_link,3.0,3.0,0.0,9.0,4.0,10.0,10.0,9.0,  
pointer_wp340_choose_image_from_library,2.0,2.0,0.0,8.0,3.0,9.0,9.0,5.0,  
pointer_wp350_media,2.0,2.0,0.0,8.0,3.0,9.0,9.0,5.0,  
pointer_wp360_revisions,3.0,3.0,0.0,8.0,3.0,9.0,9.0,9.0,  
pointer_wp360_locks,2.0,2.0,0.0,10.0,5.0,12.0,12.0,2.0,  
dismiss_pointers_for_new_users,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
PrintHexBytes,7.0,7.0,1.0,20.0,12.0,20.0,19.0,39.0,  
trunc,4.0,4.0,2.0,13.0,8.0,15.0,13.0,6.0,  
safe_inc,2.0,2.0,0.0,8.0,4.0,8.0,8.0,2.0,  
CastAsInt,3.0,3.0,4.0,9.0,5.0,14.0,10.0,3.0,  
intValueSupported,4.0,7.0,4.0,13.0,8.0,15.0,11.0,16.0,  
DecimalizeFraction,2.0,2.0,0.0,4.0,2.0,4.0,4.0,5.0,  
DecimalBinary2Float,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
NormalizeBinaryPoint,5.0,6.0,1.0,21.0,15.0,22.0,21.0,12.0,  
Float2BinaryDecimal,2.0,3.0,2.0,13.0,10.0,14.0,12.0,3.0,  
Float2String,4.0,4.0,2.0,25.0,20.0,29.0,27.0,6.0,  
LittleEndian2Float,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
BigEndian2Float,16.0,20.0,7.0,63.0,51.0,76.0,69.0,220.0,  
BigEndian2Int,7.0,8.0,3.0,26.0,16.0,28.0,25.0,30.0,  
LittleEndian2Int,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
BigEndian2Bin,2.0,2.0,0.0,8.0,5.0,8.0,8.0,2.0,  
BigEndian2String,6.0,7.0,0.0,19.0,13.0,19.0,19.0,60.0,  
Dec2Bin,4.0,4.0,0.0,12.0,8.0,12.0,12.0,12.0,  
Bin2Dec,4.0,4.0,0.0,14.0,9.0,14.0,14.0,6.0,  
Bin2String,2.0,2.0,1.0,8.0,5.0,9.0,8.0,2.0,  
LittleEndian2String,3.0,3.0,0.0,13.0,8.0,13.0,13.0,3.0,  
array_merge_clobber,4.0,7.0,2.0,14.0,8.0,16.0,14.0,15.0,  
array_merge_noclobber,5.0,8.0,0.0,14.0,9.0,14.0,14.0,18.0,  
ksort_recursive,3.0,3.0,0.0,9.0,5.0,9.0,9.0,3.0,  
fileextension,4.0,4.0,0.0,14.0,9.0,14.0,14.0,4.0,  
PlaytimeString,4.0,4.0,0.0,8.0,6.0,8.0,8.0,50.0,  
DateMac2Unix,1.0,1.0,2.0,3.0,1.0,5.0,3.0,1.0,  
FixedPoint8_8,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
FixedPoint16_16,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
FixedPoint2_30,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
CreateDeepArray,2.0,2.0,6.0,9.0,5.0,15.0,9.0,2.0,  
array_max,5.0,5.0,0.0,13.0,8.0,13.0,13.0,20.0,  
array_min,5.0,5.0,0.0,13.0,8.0,13.0,13.0,20.0,  
XML2array,2.0,3.0,0.0,10.0,7.0,10.0,10.0,3.0,  
SimpleXMLelement2array,4.0,5.0,0.0,10.0,6.0,10.0,10.0,30.0,  
hash_data,13.0,13.0,9.0,66.0,52.0,85.0,76.0,720.0,  
CopyFileParts,6.0,9.0,0.0,26.0,16.0,26.0,26.0,16.0,  
iconv_fallback_int_utf8,4.0,4.0,4.0,18.0,14.0,22.0,18.0,4.0,  
iconv_fallback_iso88591_utf8,4.0,4.0,1.0,14.0,9.0,15.0,14.0,8.0,  
iconv_fallback_iso88591_utf16be,3.0,3.0,0.0,10.0,6.0,10.0,10.0,4.0,  
iconv_fallback_iso88591_utf16le,3.0,3.0,0.0,10.0,6.0,10.0,10.0,4.0,  
iconv_fallback_iso88591_utf16,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
iconv_fallback_utf8_iso88591,9.0,9.0,6.0,36.0,23.0,42.0,36.0,62.0,  
iconv_fallback_utf8_utf16be,9.0,9.0,5.0,36.0,23.0,41.0,36.0,62.0,  
iconv_fallback_utf8_utf16le,9.0,9.0,5.0,36.0,23.0,41.0,36.0,62.0,  
iconv_fallback_utf8_utf16,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
iconv_fallback_utf16be_utf8,3.0,3.0,1.0,11.0,7.0,12.0,11.0,4.0,  
iconv_fallback_utf16le_utf8,3.0,3.0,1.0,11.0,7.0,12.0,11.0,4.0,  
iconv_fallback_utf16be_iso88591,4.0,4.0,1.0,11.0,7.0,12.0,11.0,12.0,  
iconv_fallback_utf16le_iso88591,4.0,4.0,1.0,11.0,7.0,12.0,11.0,12.0,  
iconv_fallback_utf16_iso88591,3.0,3.0,0.0,9.0,6.0,9.0,9.0,3.0,  
iconv_fallback_utf16_utf8,3.0,3.0,0.0,9.0,6.0,9.0,9.0,3.0,  
iconv_fallback,7.0,7.0,4.0,38.0,30.0,47.0,43.0,24.0,  
MultiByteCharString2HTML,41.0,47.0,1.0,86.0,73.0,91.0,90.0,61.0,  
RGADnameLookup,3.0,3.0,0.0,9.0,6.0,10.0,10.0,10.0,  
RGADoriginatorLookup,3.0,3.0,0.0,10.0,7.0,11.0,11.0,10.0,  
RGADadjustmentLookup,2.0,2.0,0.0,7.0,4.0,7.0,7.0,2.0,  
RGADgainString,2.0,2.0,0.0,13.0,9.0,14.0,14.0,2.0,  
RGADamplitude2dB,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
GetDataImageSize,4.0,6.0,1.0,19.0,14.0,20.0,19.0,10.0,  
ImageExtFromMime,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,  
ImageTypesLookup,3.0,3.0,0.0,20.0,17.0,20.0,20.0,10.0,  
